Item,Origin,SpritePrompt
harry_potter_wand,Harry Potter,"harry potter wand single item icon, one object, centered, transparent background, slender dark wood wand with subtle twisting grain and slight taper, carved runes and magical residue, hints of phoenix feather core, whimsical wizarding world vibe, high detail pixel art, glowing warmth, tiny glowing embers swirl around the tip"
excalibur,Arthurian Legend,"excalibur single item icon, one object, centered, transparent background, polished silver broadsword with golden ornate crossguard and ruby studded pommel, medieval legend fantasy style, glowing aura of nobility, ancient King Arthur mythic vibe, heroic shimmering pixel art with crisp shading, runic engravings glint"
lightsaber,Star Wars,"lightsaber single item icon, one object, centered, transparent background, futuristic cylindrical hilt of brushed steel with black ridges emitting a brilliant blue plasma blade, clean sci fi aesthetics, jedi weapon energy hum, sleek design, vibrant glow, detailed pixel sprite, luminous edges, subtle crackling arcs of energy"
pickaxe,Real World,"pickaxe single item icon, one object, centered, transparent background, rugged iron pick head with sharp points on a sturdy hardwood handle, weathered from mining, utilitarian feel, earthy tones and metal sheen, simple tool rendered in retro pixel art style with subtle highlights and shading, hinting at long use with chips"
spear,Real World,"spear single item icon, one object, centered, transparent background, long ash wood shaft tipped with gleaming steel spearhead, leather wrappings near the grip, balanced and elegant, ancient warfare vibe, realistic proportions, fantasy adventure aesthetic, crisp pixel rendering with dynamic highlights"
warhammer,Real World,"warhammer single item icon, one object, centered, transparent background, heavy iron hammer head with square face and clawed peen mounted on a long wooden haft wrapped with leather, brutal medieval weapon feel, dwarven forge vibe, richly textured pixel art with bold contrasts and strong form, battle scars hint at countless wars"
master_sword,The Legend of Zelda,"master sword single item icon, one object, centered, transparent background, legendary blue hilted sword with golden crossguard and green jewel, shining silver blade etched with triforce, heroic fantasy aura, mystical glow, crisp and vibrant pixel sprite reminiscent of classic adventure games, imbued with sacred energy"
buster_sword,Final Fantasy VII,"buster sword single item icon, one object, centered, transparent background, enormous broad blade with industrial grey steel finish, simple rectangular guard and black wrapped handle, iconic oversized proportions, gritty cyberpunk fantasy vibe, detailed pixel art with heavy shading and texture, weathered edges and scuffed"
keyblade,Kingdom Hearts,"keyblade single item icon, one object, centered, transparent background, ornate key shaped weapon with silver blade, gold and blue hilt, star shaped teeth and dangling chain charm, whimsical crossover world feel, magical aura, highly detailed pixel art with vibrant colors and crisp lines, shining star motif along its spine"
mjolnir,Norse Mythology/Marvel,"mjolnir single item icon, one object, centered, transparent background, compact stone grey hammer head engraved with runes, short leather wrapped handle with loop, thunderous Norse god vibe, weighty yet elegant form, cinematic mythic style, pixel art sprite with subtle lightning glow around, etched with runic script of legends"
dragon_slayer_sword,Berserk,"dragon slayer sword single item icon, one object, centered, transparent background, immense slablike black iron blade with rough edges and simple utilitarian guard, thick leather grip, grim dark fantasy aura, brutal heft and battle scars, moody pixel art rendering with gritty textures, etched with dark runes and dried"
gungnir,Norse Mythology,"gungnir single item icon, one object, centered, transparent background, elegant long spear with slender golden shaft and intricately engraved spearhead, mythical Odin weapon radiating power, regal Norse design, magical glow, refined pixel art style with ornate detailing and soft highlights, cosmic patterns wrap the shaft"
masamune_katana,Japanese History/Final Fantasy,"masamune katana single item icon, one object, centered, transparent background, exceedingly long slender blade with polished mirror finish and subtle hamon pattern, minimalist tsuba and black silk wrapped hilt, legendary samurai elegance, ethereal aura, crisp pixel art with graceful curves, subtle hamon reminiscent of waves"
sword_of_gryffindor,Harry Potter,"sword of gryffindor single item icon, one object, centered, transparent background, gleaming silver sword with ruby encrusted hilt and lion motif crossguard, medieval wizarding heritage, heroic relic from Hogwarts, shimmering aura, richly colored pixel art sprite with intricate jewel highlights, glittering ruby accents"
energy_sword,Halo,"energy sword single item icon, one object, centered, transparent background, dual curved plasma blades glowing azure emerging from a sleek metallic grip, alien design with angular lines and futuristic tech details, sci fi combat vibe, luminous intensity, finely shaded pixel art with radiant light, pulses across the blades"
gandalf_staff,The Lord of the Rings,"gandalf staff single item icon, one object, centered, transparent background, gnarled grey wooden staff with twisted root top and subtle runic carvings, slightly curved shaft, wizardly aura, ancient Middle Earth feel, warm earthy tones, high detail pixel art with weathered texture and mystic glow, faint silver shimmer surrounds"
kunai,Naruto/Real World,"kunai single item icon, one object, centered, transparent background, small triangular black steel dagger with wrapped grip and ring pommel, simple yet lethal ninja tool, utilitarian design with matte finish, stealthy vibe, rendered in crisp pixel art with sharp contrast and balanced composition, inclusion of rope ring and tiny"
kusarigama,Japanese Weapon,"kusarigama single item icon, one object, centered, transparent background, curved sickle blade attached by chain to a wooden handle, metal weight on the opposite end, intricate martial arts weapon, dynamic looping chain, balanced dark and metallic tones, detailed pixel art with motion suggestion, ornate tether ring on handle"
trident,Greek Mythology,"trident single item icon, one object, centered, transparent background, majestic three pronged spear with gold and teal hues, aquatic motifs engraved along the shaft, associated with sea gods, regal maritime aura, shimmering highlights, refined pixel art sprite capturing mythical underwater power, delicate barnacle details near"
halberd,Medieval Europe,"halberd single item icon, one object, centered, transparent background, polearm with long wooden shaft topped by an axe blade and spear spike, back hook for grappling, intricate metalwork, medieval infantry weapon, balanced proportions, rendered in detailed pixel art with rich shading and texture, bronze rivets along the shaft"
battle_axe,Viking,"battle axe single item icon, one object, centered, transparent background, double bladed axe head of gleaming steel set on a sturdy wooden handle wrapped with leather, rugged Norse warrior aesthetic, primal power, carved knotwork patterns, detailed pixel art with strong shadows and highlights, iron stains and nicks hint at war"
katana,Japanese,"katana single item icon, one object, centered, transparent background, elegantly curved single edged sword with polished steel blade, circular tsuba and ray skin wrapped hilt in black silk, samurai dignity and precision, subtle hamon line, classic pixel art style with refined lines and soft sheen, delicate cherry blossom"
rapier,Renaissance Europe,"rapier single item icon, one object, centered, transparent background, slender thrusting sword with intricate swept hilt guard and long narrow blade, elegant duelist weapon, silver and gold accents, renaissance aristocracy vibe, airy and poised, meticulously shaded pixel art with delicate details, subtle floral motifs ornament"
cutlass,Pirate/Real World,"cutlass single item icon, one object, centered, transparent background, curved short sword with broad blade and brass knuckle guard, weathered steel and leather wrapped grip, seafaring pirate aura, adventurous spirit, slight patina, rich pixel art colors with lively highlights and rugged texture, faint ship rigging pattern"
