"Item","Origin","SpritePrompt"
"harry_potter_wand","Harry Potter","Harry Potter Wand single item icon, one object, centered, polished dark brown wand with glowing gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark brown #5D3A1A, gold #FFD700. magic wand aesthetic"
"excalibur","Arthurian legend","Excalibur single item icon, one object, centered, polished golden sword with glowing royal blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, golden #FFD700, royal blue #4169E1. holy sword aesthetic"
"lightsaber","Star Wars","Lightsaber single item icon, one object, centered, polished neon cyan sword with glowing polished silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, neon cyan #00FFFF, polished silver #C0C0C0. energy blade aesthetic"
"pickaxe","Real-world tool","Pickaxe single item icon, one object, centered, polished iron pickaxe with glowing oak brown accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #B0B0B0, oak brown #8B4513. mining tool aesthetic"
"spear","Real-world weapon","Spear single item icon, one object, centered, polished steel spear with glowing crimson accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, crimson #DC143C. pole weapon aesthetic"
"warhammer","Medieval weapon","Warhammer single item icon, one object, centered, polished gunmetal hammer with glowing brass accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, gunmetal #2A3439, brass #B5A642. siege weapon aesthetic"
"master_sword","The Legend of Zelda","Master Sword single item icon, one object, centered, polished silver sword with glowing cobalt accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silver #C0C0C0, cobalt #0047AB. hero sword aesthetic"
"keyblade","Kingdom Hearts","Keyblade single item icon, one object, centered, polished shining gold sword with glowing sky blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, shining gold #FFD700, sky blue #87CEEB. mystic key aesthetic"
"mjolnir","Marvel / Norse Mythology","Mjolnir single item icon, one object, centered, polished stone grey hammer with glowing leather brown accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, stone grey #708090, leather brown #8B4513. thunder hammer aesthetic"
"frostmourne","Warcraft","Frostmourne single item icon, one object, centered, polished icy steel sword with glowing soul blue accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, icy steel #A9C8E4, soul blue #4B9CD3. cursed sword aesthetic"
"leviathan_axe","God of War","Leviathan Axe single item icon, one object, centered, polished frosted steel axe with glowing runic blue accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, frosted steel #C6D6EA, runic blue #4F6D7A. war axe aesthetic"
"dragonslayer","Berserk","Dragonslayer single item icon, one object, centered, polished dark iron sword with glowing blood red accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark iron #4F4F4F, blood red #8A0707. colossal sword aesthetic"
"vampire_killer_whip","Castlevania","Vampire Killer Whip single item icon, one object, centered, polished holy silver whip with glowing scarlet accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, holy silver #C0C0C0, scarlet #DC143C. sacred whip aesthetic"
"omni_blade","Mass Effect","Omni Blade single item icon, one object, centered, polished burnt orange sword with glowing tech blue accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, burnt orange #FF8C00, tech blue #1E90FF. hardlight blade aesthetic"
"energy_sword","Halo","Energy Sword single item icon, one object, centered, polished plasma teal sword with glowing forerunner silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, plasma teal #00CED1, forerunner silver #D8EAF3. aliensword aesthetic"
"diamond_sword","Minecraft","Diamond Sword single item icon, one object, centered, polished diamond cyan sword with glowing steel grey accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, diamond cyan #3DE3E3, steel grey #C0C0C0. craft sword aesthetic"
"katana","Real-world weapon","Katana single item icon, one object, centered, polished mirror steel sword with glowing midnight black accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, mirror steel #CED3DC, midnight black #0B0B0B. samurai blade aesthetic"
"claymore","Real-world weapon","Claymore single item icon, one object, centered, polished brushed iron sword with glowing forest green accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, brushed iron #B9B9B9, forest green #228B22. highland sword aesthetic"
"rapier","Real-world weapon","Rapier single item icon, one object, centered, polished polished silver sword with glowing royal purple accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, polished silver #D8D8D8, royal purple #7851A9. dueling sword aesthetic"
"halberd","Medieval weapon","Halberd single item icon, one object, centered, polished forged steel spear with glowing deep crimson accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, forged steel #B0C4DE, deep crimson #8B0000. polearm aesthetic"
"longbow","Real-world weapon","Longbow single item icon, one object, centered, wooden brown bow, clean sharp edges, crisp icon view, transparent background, yew brown #8B5A2B, linen beige #F5F5DC, archer tool aesthetic"
"bo_staff","Martial arts","Bo Staff single item icon, one object, centered, polished oak brown staff with glowing black cord accents, engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, oak brown #8B4513, black cord #2F2F2F. martial staff aesthetic"
"quarterstaff","Medieval weapon","Quarterstaff single item icon, one object, centered, polished ash brown staff with glowing sage green accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, ash brown #A0522D, sage green #556B2F. medieval staff aesthetic"
"naginata","Japanese weapon","Naginata single item icon, one object, centered, polished steel spear with glowing scarlet accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel grey #C0C0C0, scarlet #BB2528. japanese polearm aesthetic"
"glaive","Medieval weapon","Glaive single item icon, one object, centered, polished silvergrey spear with glowing emerald accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silvergrey #C9C9C9, emerald #50C878. pole blade aesthetic"
"mace","Medieval weapon","Mace single item icon, one object, centered, polished dark steel mace with glowing bronze accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark steel #545454, bronze #CD7F32. blunt weapon aesthetic"
"flail","Medieval weapon","Flail single item icon, one object, centered, polished iron grey flail with glowing chain silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron grey #9F9F9F, chain silver #C0C0C0. chain weapon aesthetic"
"morningstar","Medieval weapon","Morningstar single item icon, one object, centered, polished dark iron flail with glowing spike silver accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, dark iron #4F4F4F, spike silver #C0C0C0. spiked mace aesthetic"
"battleaxe","Medieval weapon","Battleaxe single item icon, one object, centered, polished steel axe with glowing burgundy accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #B0B0B0, burgundy #800020. axe weapon aesthetic"
"poleaxe","Medieval weapon","Poleaxe single item icon, one object, centered, polished grey steel spear with glowing navy accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, grey steel #B4B4B4, navy #000080. pole axe aesthetic"
"kukri","Nepalese weapon","Kukri single item icon, one object, centered, polished carbon steel dagger with glowing mahogany accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, carbon steel #4E4E4E, mahogany #C04000. nepal blade aesthetic"
"sickle","Agricultural tool","Sickle single item icon, one object, centered, polished silver sickle with glowing harvest gold accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, silver #C0C0C0, harvest gold #DAA520. harvest tool aesthetic"
"scythe","Agricultural tool","Scythe single item icon, one object, centered, polished aged iron scythe with glowing dark wood accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, aged iron #6E6E6E, dark wood #654321. reaper scythe aesthetic"
"shovel","Real-world tool","Shovel single item icon, one object, centered, polished steel shovel with glowing pinewood accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, pinewood #826644. digging tool aesthetic"
"crowbar","Real-world tool","Crowbar single item icon, one object, centered, polished oxide red crowbar with glowing industrial grey accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, oxide red #AA0114, industrial grey #585858. pry tool aesthetic"
"sledgehammer","Real-world tool","Sledgehammer single item icon, one object, centered, polished steel grey hammer with glowing yellow accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, steel grey #8B8B8B, yellow #FFD700. demo hammer aesthetic"
"mallet","Real-world tool","Mallet single item icon, one object, centered, polished maple cream hammer with glowing black rubber accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, maple cream #D2B48C, black rubber #1C1C1C. soft hammer aesthetic"
"hoe","Agricultural tool","Hoe single item icon, one object, centered, polished iron hoe with glowing spring green accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, iron #B0B0B0, spring green #00FF7F. field tool aesthetic"
"trowel","Real-world tool","Trowel single item icon, one object, centered, polished matte silver trowel with glowing terra cotta accents, finely engraved mystic patterns, swirling energy aura, ornate detailing, clean sharp edges, crisp icon view, transparent background, matte silver #C0C0C0, terra cotta #E2725B. garden tool aesthetic"
"chisel","Real-world tool","Chisel single item icon, one object, centered, polished steel chisel with glowing oiled oak accents, clean sharp edges, crisp icon view, transparent background, steel #C0C0C0, oiled oak #8B4513. carving tool aesthetic"
